Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI,Series,Expiration,Day to expire,ATM premium,+/-1 OTM premium,atr,tr,atm_tv
2019-08-20,1077.0,1077.3,1063.0,1065.0,1065.6,-10.3,-0.0096,183775.0,269471.0,U19,2019-09-27,38d,35.0,17.8,13.785714285714286,14.299999999999955,25.0
2019-08-21,1064.2,1079.7,1064.2,1077.3,1076.6,11.0,0.0103,202812.0,271642.0,U19,2019-09-27,37d,34.0,16.6,14.307142857142853,15.5,31.700000000000045
2019-08-22,1072.2,1075.0,1057.0,1072.2,1071.6,-5.0,-0.0046,221675.0,262244.0,U19,2019-09-27,36d,33.9,16.9,15.114285714285709,18.0,31.100000000000044
2019-08-23,1079.9,1084.3,1075.5,1083.0,1082.9,11.3,0.0105,150419.0,259316.0,U19,2019-09-27,35d,34.8,17.3,15.09999999999999,8.799999999999955,26.799999999999997
2019-08-26,1064.0,1068.7,1056.1,1066.4,1066.8,-16.1,-0.0149,240612.0,272578.0,U19,2019-09-27,32d,36.7,18.4,15.057142857142853,12.600000000000136,28.100000000000094
2019-08-27,1063.5,1070.3,1057.0,1060.5,1060.5,-6.3,-0.0059,219812.0,271904.0,U19,2019-09-27,31d,37.7,19.0,14.68571428571428,13.299999999999955,27.200000000000003
2019-08-28,1061.5,1064.4,1058.6,1062.5,1062.3,1.8,0.0017,137207.0,273913.0,U19,2019-09-27,30d,37.0,18.0,14.271428571428585,5.800000000000182,24.5
2019-08-29,1065.0,1078.3,1063.7,1077.6,1077.6,15.3,0.0144,172985.0,275497.0,U19,2019-09-27,29d,33.5,16.0,14.699999999999998,14.599999999999909,30.90000000000009
2019-08-30,1082.5,1091.3,1079.8,1089.1,1089.3,11.7,0.0109,183981.0,277233.0,U19,2019-09-27,28d,33.7,15.7,14.485714285714282,11.5,22.799999999999912
2019-09-02,1086.0,1093.7,1084.1,1087.5,1087.8,-1.5,-0.0014,121783.0,280172.0,U19,2019-09-27,25d,32.2,15.1,13.30714285714287,9.600000000000136,19.700000000000003
2019-09-03,1087.0,1090.9,1078.4,1080.8,1081.2,-6.6,-0.0061,186701.0,300030.0,U19,2019-09-27,24d,28.9,13.1,12.857142857142874,12.5,23.100000000000044
2019-09-04,1085.8,1100.9,1085.5,1097.2,1096.0,14.8,0.0137,196616.0,303128.0,U19,2019-09-27,23d,27.8,11.8,12.88571428571431,15.400000000000091,25.000000000000046
2019-09-05,1105.1,1107.1,1098.1,1106.2,1106.1,10.1,0.0092,155025.0,293881.0,U19,2019-09-27,22d,27.3,12.1,11.978571428571447,9.0,21.099999999999955
2019-09-06,1110.0,1111.0,1104.0,1105.8,1105.3,-0.8,-0.0007,113573.0,270457.0,U19,2019-09-27,21d,26.4,10.7,11.992857142857165,7.0,20.600000000000044
2019-09-09,1106.0,1108.9,1101.5,1106.2,1106.2,0.9,0.0008,120286.0,267976.0,U19,2019-09-27,18d,25.4,9.5,11.500000000000032,7.400000000000091,19.199999999999953
