Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI,Series
12/12/2019,"1,053.3","1,063.5","1,052.5","1,059.3","1,059.10",10.40,0.99%,"174,157","290,186",Z19
13/12/2019,"1,070.0","1,071.4","1,066.6","1,069.5","1,069.20",10.10,0.95%,"143,467","285,171",Z19
16/12/2019,"1,067.3","1,068.0","1,046.4","1,046.8","1,046.90",-22.30,-2.09%,"210,868","307,037",Z19
17/12/2019,"1,044.5","1,053.1","1,044.0","1,051.6","1,051.90",5.00,0.48%,"200,015","292,163",Z19
18/12/2019,"1,055.0","1,063.6","1,054.6","1,061.4","1,061.40",9.50,0.90%,"154,438","278,828",Z19
19/12/2019,"1,058.0","1,073.1","1,053.5","1,069.8","1,069.70",8.30,0.78%,"215,916","274,148",Z19
20/12/2019,"1,067.8","1,072.2","1,060.6","1,065.0","1,064.90",-4.80,-0.45%,"195,741","270,154",Z19
23/12/2019,"1,064.0","1,078.9","1,064.0","1,070.1","1,070.30",5.40,0.51%,"207,146","213,662",Z19
24/12/2019,"1,069.8","1,073.8","1,065.2","1,066.0","1,066.00",-4.30,-0.40%,"126,900","167,815",Z19
25/12/2019,"1,064.2","1,070.8","1,062.3","1,069.6","1,069.70",3.70,0.35%,"41,724","107,372",Z19
26/12/2019,"1,070.0","1,073.5","1,068.1","1,072.9","1,073.10",3.40,0.32%,"57,946","63,595",Z19
27/12/2019,"1,076.6","1,078.0","1,063.0","1,063.4","1,063.71",-9.39,-0.88%,"45,580","48,056",Z19
2/1/2020,"1,065.2","1,079.3","1,065.0","1,076.7","1,076.60",9.70,0.91%,"168,099","253,260",H20
3/1/2020,"1,075.0","1,081.7","1,073.5","1,075.4","1,075.40",-1.20,-0.11%,"174,869","257,169",H20
6/1/2020,"1,070.0","1,071.4","1,057.6","1,058.2","1,059.20",-16.20,-1.51%,"235,446","271,187",H20
7/1/2020,"1,064.9","1,071.8","1,059.5","1,070.8","1,070.90",11.70,1.10%,"211,875","265,441",H20
8/1/2020,"1,061.1","1,063.5","1,052.6","1,053.6","1,054.20",-16.70,-1.56%,"243,337","280,512",H20
9/1/2020,"1,064.9","1,070.7","1,060.9","1,068.2","1,068.00",13.80,1.31%,"199,422","283,440",H20
10/1/2020,"1,067.8","1,071.5","1,063.6","1,068.5","1,068.70",0.70,0.07%,"155,019","282,880",H20
13/1/2020,"1,071.0","1,074.5","1,068.2","1,072.0","1,071.80",3.10,0.29%,"142,138","297,896",H20
14/1/2020,"1,074.8","1,075.0","1,065.1","1,071.7","1,071.80",-,-,"162,436","302,060",H20
